"id";"year";"make";"model";"color";"price";"mpg_city";"mpg_hwy";"transmission";"engine";"drive_type";"prev_owners";"mileage";"vin";"status";"date_created";"style";"city";"state";"images"
19;1996;"Toyota";"Classic Sedan";"Gray";23677.87;19;21;"Automatic";"Inline-4 1.9L";"RWD";3;53860;"1C2A8XGKE8CWJ3BW8";1;"2024-01-09";"sedan";"Seattle";"WA";"{""model_imgs_key"": ""toyota classic sedan""}"
20;1962;"Dodge";"Polara 500 Hardtop";"Yellow";29637.05;12;21;"Manual";"Flat-6 3.6L";"RWD";1;107127;"6NRVYTKCFUZYMXIEN";1;"2023-06-22";"coupe,sedan";"Atlanta";"GA";"{""model_imgs_key"": ""dodge polara 500 hardtop""}"
21;1992;"Mazda";"Miata Mx 5";"Brown";35476.59;11;29;"Manual";"Flat-4 1.6L";"RWD";2;116171;"JD8OJYY2PNK9HG4K6";1;"2023-10-06";"convertible";"Louisville";"KY";"{""model_imgs_key"": ""mazda miata mx 5""}"
22;2004;"Dodge";"Ram Srt 10 Pickup";"Red";40831.48;14;18;"Manual";"Inline-6 3.5L";"AWD";1;29256;"D7E4KPI22LKHRQAEJ";1;"2025-03-18";"pickup";"Chicago";"IL";"{""model_imgs_key"": ""dodge ram srt 10 pickup""}"
23;1960;"Mercedes-Benz";"190Sl Roadster";"Green";15228.93;8;18;"Manual";"V6 4.2L";"FWD";1;82973;"MW1QO0W82R93SZA9D";1;"2022-12-05";"convertible,luxury";"Miami";"FL";"{""model_imgs_key"": ""mercedes-benz 190sl roadster""}"
24;1956;"Lincoln";"Premiere 2 Door Hardtop";"Gray";36155.05;9;23;"Manual";"Flat-6 3.2L";"RWD";1;124790;"WV9S007OQ5AB8LKC0";1;"2022-05-05";"luxury,coupe";"Atlanta";"GA";"{""model_imgs_key"": ""lincoln premiere 2 door hardtop""}"
25;1957;"Chevrolet";"Corvette Convertible";"Brown";14194.73;17;22;"Automatic";"Flat-6 2.2L";"RWD";1;117666;"BB30TRUJND799EJWL";1;"2022-04-07";"convertible,muscle car";"Louisville";"KY";"{""model_imgs_key"": ""chevrolet corvette convertible""}"
26;1972;"Buick";"Centurion Convertible";"Blue";28100.48;18;21;"Automatic";"V12 5.3L";"FWD";1;143924;"HPQGVKNFL8UZJMK41";1;"2023-01-12";"convertible,luxury";"Phoenix";"AZ";"{""model_imgs_key"": ""buick centurion convertible""}"
27;1973;"Pontiac";"Firebird Formula";"Green";31569.15;13;13;"Automatic";"V8 4.0L";"RWD";3;20155;"ZXH4SQCSBMNLU5SI6";1;"2024-07-17";"muscle car";"Atlanta";"GA";"{""model_imgs_key"": ""pontiac firebird formula""}"
28;1992;"Mazda";"Miata Mx 5";"Red";18694.18;9;24;"Manual";"Flat-4 1.6L";"FWD";2;113950;"3L5CUCC8OKE63MNOE";1;"2022-03-05";"convertible";"Miami";"FL";"{""model_imgs_key"": ""mazda miata mx 5""}"
29;1975;"Oldsmobile";"Delta 88 Royale Convertible";"Gray";33822.03;10;21;"Manual";"V12 7.2L";"AWD";3;141569;"G01A8WZIUSLWI6O6L";1;"2022-05-03";"convertible";"Atlanta";"GA";"{""model_imgs_key"": ""oldsmobile delta 88 royale convertible""}"
30;1932;"Oldsmobile";"L32 4 Door Sedan";"Blue";28980.39;20;26;"Manual";"V8 4.6L";"RWD";3;120220;"BMSJDUOUB9JA95M8G";1;"2023-02-09";"sedan";"Houston";"TX";"{""model_imgs_key"": ""oldsmobile l32 4 door sedan""}"
31;1950;"Cadillac";"Series 61 Coupe";"Black";15437.53;12;28;"Manual";"V8 4.6L";"AWD";1;109953;"T4KRPXILC2F2IAAJT";1;"2024-07-14";"luxury,coupe";"Miami";"FL";"{""model_imgs_key"": ""cadillac series 61 coupe""}"
32;1966;"Ford";"Mustang Gt Hardtop";"White";35935.91;14;17;"Automatic";"V8 4.0L";"AWD";2;14748;"2UMH4AN8Z5H36JOL7";1;"2021-05-07";"muscle car,coupe";"Seattle";"WA";"{""model_imgs_key"": ""ford mustang gt hardtop""}"
33;1967;"Volkswagen";"Beetle";"Red";8794.18;16;29;"Manual";"Flat-4 1.6L";"RWD";1;5335;"KH4R8H4BTTU5SJ3NZ";1;"2022-07-14";"coupe,sedan";"Austin";"TX";"{""model_imgs_key"": ""volkswagen beetle""}"
34;1982;"Toyota";"Pickup";"Yellow";40129.41;12;15;"Automatic";"V8 3.5L";"AWD";1;52016;"85IW4K80V3QKADHMC";1;"2024-08-22";"pickup";"Seattle";"WA";"{""model_imgs_key"": ""toyota pickup""}"
35;1972;"Oldsmobile";"Toronado";"Blue";14599.31;17;20;"Manual";"V12 5.3L";"AWD";1;141154;"PARN32CBKH11H4Y1L";1;"2023-12-07";"luxury";"Miami";"FL";"{""model_imgs_key"": ""oldsmobile toronado""}"
36;1970;"Cadillac";"Coupe Deville";"Red";15785.13;11;24;"Automatic";"Inline-6 3.5L";"RWD";3;112213;"91LPO7JCPQY10DG8J";1;"2021-06-10";"luxury,coupe";"Denver";"CO";"{""model_imgs_key"": ""cadillac coupe deville""}"
37;1968;"Pontiac";"Executive Hardtop";"Blue";65549.36;10;29;"Automatic";"V8 5.3L";"RWD";2;52794;"614GMAWDUHVVOCM94";1;"2024-12-15";"coupe,luxury";"Houston";"TX";"{""model_imgs_key"": ""pontiac executive hardtop""}"
38;1953;"Buick";"Super 50 Series Riviera 4 Door Sedan";"Beige";41620.25;15;21;"Automatic";"V8 5.7L";"AWD";1;142689;"BBZTETHX86E8CWKY2";1;"2023-10-09";"luxury,sedan";"Miami";"FL";"{""model_imgs_key"": ""buick super 50 series riviera 4 door sedan""}"
39;1948;"Cadillac";"Series 62 Coupe";"Yellow";18103.44;14;17;"Manual";"V12 5.3L";"FWD";1;73277;"1Z77OQ59R3N8WJWZ5";1;"2023-04-25";"luxury,coupe";"Atlanta";"GA";"{""model_imgs_key"": ""cadillac series 62 coupe""}"
40;1972;"Ford";"Mustang Mach 1";"Red";40759.06;9;18;"Automatic";"Flat-6 3.6L";"AWD";2;81783;"1Z879F50574LDL6M6";1;"2024-01-23";"muscle car,coupe";"Los Angeles";"CA";"{""model_imgs_key"": ""ford mustang mach 1""}"
41;1990;"Toyota";"Supra Coupe";"Brown";37042.24;9;29;"Manual";"V8 6.2L";"AWD";3;80891;"8S0N0WTOZI8WCU2H4";0;"2024-09-27";"coupe";"Nashville";"TN";"{""model_imgs_key"": ""toyota supra coupe""}"
42;1982;"Pontiac";"Firebird Trans Am Tribute";"Gray";31933.82;12;19;"Manual";"Inline-4 1.6L";"RWD";1;57359;"YE1SCB0NS8SJ5O3TN";1;"2024-10-16";"muscle car";"New Orleans";"LA";"{""model_imgs_key"": ""pontiac firebird trans am tribute""}"
43;1997;"BMW";"M3 4 Door Sedan";"Brown";6919.62;8;13;"Manual";"Flat-6 2.2L";"FWD";2;16279;"L6ZWMZI5SEHTJA29B";1;"2024-02-14";"sedan,muscle car";"Los Angeles";"CA";"{""model_imgs_key"": ""bmw m3 4 door sedan""}"
44;1969;"Jaguar";"Xke 2 2 Coupe";"White";10154.82;20;29;"Manual";"Inline-6 3.5L";"RWD";2;91053;"OXBU0BJFBF2BY451D";0;"2022-04-05";"luxury,coupe";"Denver";"CO";"{""model_imgs_key"": ""jaguar xke 2 2 coupe""}"
45;1967;"Pontiac";"Firebird Convertible";"Black";11571.57;18;28;"Manual";"Inline-6 2.8L";"AWD";2;131591;"GU4SISSTN3D2OBQHN";1;"2022-02-27";"convertible,muscle car";"Denver";"CO";"{""model_imgs_key"": ""pontiac firebird convertible""}"
46;1951;"Dodge";"Power Wagon";"Brown";24029.12;13;17;"Automatic";"V8 6.0L";"AWD";3;93426;"KO8SXOU6HGRHLPWV9";1;"2022-04-16";"SUV / 4x4,pickup";"Phoenix";"AZ";"{""model_imgs_key"": ""dodge power wagon""}"
47;1974;"Porsche";"914";"Brown";12319.26;16;30;"Automatic";"V8 5.5L";"AWD";2;57424;"Q6B12UNNTEGO6EJYK";1;"2022-02-21";"coupe";"Phoenix";"AZ";"{""model_imgs_key"": ""porsche 914""}"
48;1963;"Jeep";"Willys Station Wagon";"Gray";41805.34;9;25;"Automatic";"Flat-4 1.6L";"FWD";3;115006;"HRQ6F7GMOITXEK0PX";1;"2021-07-01";"station wagon";"Seattle";"WA";"{""model_imgs_key"": ""jeep willys station wagon""}"
49;1994;"Nissan";"300Zx";"Green";22934.11;11;29;"Manual";"V8 3.5L";"RWD";2;66483;"X0RJL60BQ5I3FTEM3";1;"2024-06-22";"coupe";"Portland";"OR";"{""model_imgs_key"": ""nissan 300zx""}"
50;1955;"Pontiac";"Star Chief Convertible";"Green";18059.68;16;26;"Manual";"V8 4.5L";"FWD";1;5253;"W45K5XM2HPA71OO7H";1;"2024-06-04";"convertible";"Denver";"CO";"{""model_imgs_key"": ""pontiac star chief convertible""}"
51;1978;"Chevrolet";"Monza Station Wagon";"Beige";7699.34;13;19;"Automatic";"V8 4.0L";"RWD";1;60427;"H7XRLECFK37ARXYLK";1;"2023-05-25";"station wagon";"Denver";"CO";"{""model_imgs_key"": ""chevrolet monza station wagon""}"
52;1951;"Lincoln";"Lido Hardtop";"Red";31375.29;16;25;"Manual";"V6 3.8L";"FWD";3;18691;"BSDHR920OPRA0D3C0";1;"2022-05-10";"luxury,coupe";"Phoenix";"AZ";"{""model_imgs_key"": ""lincoln lido hardtop""}"
53;1950;"Dodge";"Pickup";"Red";45414.58;14;25;"Automatic";"V8 3.5L";"RWD";3;8666;"15O5QY5X6XMXTY6PY";1;"2021-12-15";"pickup";"Richmond";"VA";"{""model_imgs_key"": ""dodge pickup""}"
54;1970;"Cadillac";"Coupe Deville";"White";22998.85;17;22;"Manual";"Inline-6 3.5L";"FWD";2;40865;"WE4LPWNMK00GRDWFJ";1;"2021-09-15";"luxury,coupe";"Houston";"TX";"{""model_imgs_key"": ""cadillac coupe deville""}"
55;1957;"Mercedes-Benz";"180D Sedan";"Black";23341.41;8;24;"Manual";"V6 4.2L";"AWD";3;28507;"IKRCUTDWKFP4U1UTN";1;"2024-05-25";"sedan,luxury";"New Orleans";"LA";"{""model_imgs_key"": ""mercedes-benz 180d sedan""}"
56;1957;"Oldsmobile";"Super 88 Convertible";"Yellow";35794.18;14;17;"Manual";"Rotary 1.1L";"AWD";3;143051;"B99C1R9TC8SJAOOBU";1;"2023-12-14";"convertible";"Chicago";"IL";"{""model_imgs_key"": ""oldsmobile super 88 convertible""}"
57;1995;"Jaguar";"Xjs V12 Convertible";"Gray";34758.08;16;22;"Automatic";"V12 7.2L";"FWD";2;31545;"CEUY5PBFJJB9YAVWT";0;"2023-06-25";"convertible,luxury";"Atlanta";"GA";"{""model_imgs_key"": ""jaguar xjs v12 convertible""}"
58;1974;"Chevrolet";"Camaro Type Lt Z28";"Blue";33738.48;8;19;"Manual";"V8 7.0L";"RWD";2;141339;"6EUZGCTAER771CSP7";1;"2021-09-07";"muscle car,coupe";"Chicago";"IL";"{""model_imgs_key"": ""chevrolet camaro type lt z28""}"
59;1966;"Buick";"Skylark Gs Hardtop";"Yellow";46335.57;16;20;"Manual";"V8 6.6L";"RWD";3;78028;"9NWZXQ9S2WMORQ86A";1;"2022-06-29";"muscle car,coupe";"Seattle";"WA";"{""model_imgs_key"": ""buick skylark gs hardtop""}"
60;1992;"Mazda";"Miata Mx 5";"Brown";30709.57;20;23;"Manual";"Flat-4 1.6L";"RWD";2;74810;"UOW86DD3IS4HJKJO0";1;"2021-07-08";"convertible";"Phoenix";"AZ";"{""model_imgs_key"": ""mazda miata mx 5""}"
61;1984;"Cadillac";"Fleetwood Brougham D Elegance";"Green";33283.32;22;26;"Manual";"Flat-6 2.0L";"AWD";2;87649;"FTKGBFPB3MRSXL1KR";1;"2023-02-16";"luxury,sedan";"Los Angeles";"CA";"{""model_imgs_key"": ""cadillac fleetwood brougham d elegance""}"
62;1976;"Lincoln";"Continental Town Coupe";"Gray";32174.31;9;19;"Automatic";"V6 4.0L";"FWD";3;74882;"276ZIOERCBT0XLRZG";1;"2022-04-19";"luxury,coupe";"Houston";"TX";"{""model_imgs_key"": ""lincoln continental town coupe""}"
63;1981;"Nissan";"280Zx";"Black";18410.37;15;28;"Automatic";"V8 4.5L";"AWD";2;27293;"3EKYOUNKEW0WB8K6F";1;"2021-05-29";"coupe";"Phoenix";"AZ";"{""model_imgs_key"": ""nissan 280zx""}"
64;1975;"Buick";"Electra 225 Limited 2 Door Hardtop";"Blue";33536.81;14;15;"Manual";"Flat-6 2.2L";"RWD";2;112296;"O5S02QGAGGI5W0G9K";1;"2022-04-13";"luxury,coupe";"New Orleans";"LA";"{""model_imgs_key"": ""buick electra 225 limited 2 door hardtop""}"
65;1986;"Oldsmobile";"Cutlass Salon Hardtop";"Green";24569.73;20;30;"Manual";"Flat-6 3.0L";"AWD";1;113265;"MK2N298UGEAOJGBCH";1;"2022-09-03";"coupe,luxury";"Seattle";"WA";"{""model_imgs_key"": ""oldsmobile cutlass salon hardtop""}"
66;1975;"Oldsmobile";"Delta 88 Royale Convertible";"Yellow";40330.31;19;22;"Automatic";"V12 7.2L";"FWD";1;94406;"89A9HH0RRPUFGXA3O";1;"2023-06-10";"convertible";"Miami";"FL";"{""model_imgs_key"": ""oldsmobile delta 88 royale convertible""}"
67;1992;"Mazda";"Miata Mx 5";"Blue";16282.73;11;30;"Automatic";"Flat-4 1.6L";"FWD";1;59450;"CF3UNJZW2ZIIBPMN8";1;"2021-04-03";"convertible";"Seattle";"WA";"{""model_imgs_key"": ""mazda miata mx 5""}"
68;1996;"Ford";"Bronco Eddie Bauer";"Yellow";16677.94;12;15;"Manual";"V6 3.8L";"AWD";2;132170;"8KI7OBPDEGJS1NG0Y";1;"2022-07-03";"SUV / 4x4";"New Orleans";"LA";"{""model_imgs_key"": ""ford bronco eddie bauer""}"
69;1938;"Lincoln";"Zephyr Coupe";"Blue";26781.56;17;22;"Manual";"Flat-4 1.3L";"FWD";2;149819;"4UZCSE0HYJ07O33LT";1;"2022-03-13";"luxury,coupe";"Austin";"TX";"{""model_imgs_key"": ""lincoln zephyr coupe""}"
70;2003;"Toyota";"Tacoma Trd 4X4 Xtracab";"White";13981.98;20;26;"Automatic";"V8 5.7L";"AWD";3;104381;"QU7F314K8XEX84223";0;"2022-06-27";"SUV / 4x4,pickup";"Miami";"FL";"{""model_imgs_key"": ""toyota tacoma trd 4x4 xtracab""}"
71;1950;"Dodge";"Pickup";"Beige";21816.25;12;17;"Manual";"V8 3.5L";"RWD";2;46863;"RGJP40LR28DKLC039";1;"2024-09-30";"pickup";"Atlanta";"GA";"{""model_imgs_key"": ""dodge pickup""}"
72;1963;"Jeep";"Willys Station Wagon";"Green";12610.01;16;25;"Automatic";"Flat-4 1.6L";"AWD";2;32510;"7BPP4DUES69JAUIDO";1;"2024-02-13";"station wagon";"Denver";"CO";"{""model_imgs_key"": ""jeep willys station wagon""}"
73;1992;"Mazda";"Miata Mx 5";"White";44006.22;9;20;"Automatic";"Flat-4 1.6L";"AWD";3;71992;"JP8DX4AU0QOGJPQ8W";1;"2021-06-28";"convertible";"Atlanta";"GA";"{""model_imgs_key"": ""mazda miata mx 5""}"
74;1962;"Dodge";"Polara 500 Hardtop";"Gray";35424.33;10;28;"Automatic";"Flat-6 3.6L";"AWD";2;17154;"L38X1DJMPN3M7M8E8";1;"2022-11-05";"coupe,sedan";"Seattle";"WA";"{""model_imgs_key"": ""dodge polara 500 hardtop""}"
75;1974;"Porsche";"914";"Red";39137.42;14;29;"Manual";"V8 5.5L";"RWD";2;135178;"FKRMRTP1BH6DSSCO1";1;"2022-10-12";"coupe";"Denver";"CO";"{""model_imgs_key"": ""porsche 914""}"
76;1970;"Mercedes-Benz";"280Se Sedan";"White";31230.09;11;24;"Manual";"V6 4.0L";"AWD";1;20412;"70BTZLR32OPV5ZINU";1;"2021-07-23";"sedan,luxury";"Miami";"FL";"{""model_imgs_key"": ""mercedes-benz 280se sedan""}"
77;1972;"Oldsmobile";"Toronado";"Blue";16625.99;16;26;"Manual";"V12 5.3L";"RWD";2;48170;"DSP2V6S356HASBZ1E";1;"2022-05-08";"luxury";"Los Angeles";"CA";"{""model_imgs_key"": ""oldsmobile toronado""}"
78;1982;"Toyota";"Pickup";"Black";33750.57;8;29;"Automatic";"V8 3.5L";"AWD";1;78577;"F3ZAPBV5WASQVA4LK";1;"2023-12-09";"pickup";"Phoenix";"AZ";"{""model_imgs_key"": ""toyota pickup""}"
79;1978;"Chevrolet";"Monza Station Wagon";"Black";13663.81;20;21;"Manual";"V8 4.0L";"AWD";1;92474;"NWF0FY8LA31EC54IT";1;"2024-08-11";"station wagon";"Houston";"TX";"{""model_imgs_key"": ""chevrolet monza station wagon""}"
80;1960;"Buick";"Electra 2 Door Hardtop";"Yellow";10180.75;12;14;"Manual";"V8 4.5L";"AWD";2;80356;"BMIEAR2B2IMFUH999";1;"2024-06-18";"luxury,coupe";"Los Angeles";"CA";"{""model_imgs_key"": ""buick electra 2 door hardtop""}"
81;1955;"Pontiac";"Star Chief Convertible";"White";29609.73;18;28;"Manual";"V8 4.5L";"FWD";3;72943;"ZAW6Z9DJ1IT6BZ4AV";1;"2023-10-15";"convertible";"Louisville";"KY";"{""model_imgs_key"": ""pontiac star chief convertible""}"
82;1969;"Volkswagen";"Kelmark Gt";"Yellow";7113.23;19;24;"Automatic";"V8 5.5L";"FWD";3;145590;"U7P9AGSAXOF40MY8A";1;"2022-03-04";"coupe,muscle car";"Seattle";"WA";"{""model_imgs_key"": ""volkswagen kelmark gt""}"
83;1969;"Jaguar";"Xke Roadster";"Yellow";16415.32;14;16;"Manual";"V12 5.0L";"FWD";1;27843;"DIZGFY59RDPLLIQ4L";1;"2024-03-17";"convertible,luxury";"Chicago";"IL";"{""model_imgs_key"": ""jaguar xke roadster""}"
84;1959;"Pontiac";"Catalina Hardtop";"Red";40537.23;16;18;"Manual";"Rotary 1.2L";"AWD";3;95482;"2PE1PGGU5Z4XFZ3DJ";1;"2021-08-16";"coupe,luxury";"Atlanta";"GA";"{""model_imgs_key"": ""pontiac catalina hardtop""}"
85;1975;"Mercedes-Benz";"300D Sedan";"Brown";37956.25;8;18;"Manual";"Inline-4 1.6L";"AWD";3;77325;"X4044VTRI2DJDAGWF";1;"2021-06-10";"sedan,luxury";"New Orleans";"LA";"{""model_imgs_key"": ""mercedes-benz 300d sedan""}"
86;1986;"Oldsmobile";"Cutlass Salon Hardtop";"Red";18980.36;10;14;"Manual";"Flat-6 3.0L";"AWD";3;66363;"3YPXJ4I69KKZJ1JGT";1;"2021-08-24";"coupe,luxury";"Phoenix";"AZ";"{""model_imgs_key"": ""oldsmobile cutlass salon hardtop""}"
87;1928;"Buick";"116 Sport Coupe";"Blue";39700.59;17;20;"Automatic";"Flat-4 2.0L";"AWD";1;34247;"477U096SNVKG12U52";1;"2021-07-06";"coupe";"Atlanta";"GA";"{""model_imgs_key"": ""buick 116 sport coupe""}"
88;1969;"Jaguar";"Xke Roadster";"Black";36847.1;10;22;"Manual";"V12 5.0L";"RWD";3;34820;"0ZJLF9AUG8XU0WG3C";1;"2023-06-30";"convertible,luxury";"Chicago";"IL";"{""model_imgs_key"": ""jaguar xke roadster""}"
89;1940;"Dodge";"Series Vc G502 Power Wagon Pickup";"Yellow";33557.34;22;22;"Manual";"V6 2.5L";"AWD";2;108201;"XHHVHBFZVWUVDR8U7";1;"2023-02-03";"pickup,SUV / 4x4";"Los Angeles";"CA";"{""model_imgs_key"": ""dodge series vc g502 power wagon pickup""}"
90;1969;"Volkswagen";"Kelmark Gt";"Green";18432.03;16;25;"Automatic";"V8 5.5L";"AWD";1;25302;"G3Q0RLQ2UXYW9EDQV";1;"2025-02-01";"coupe,muscle car";"Seattle";"WA";"{""model_imgs_key"": ""volkswagen kelmark gt""}"
91;1969;"Dodge";"Charger Hardtop";"Red";60011.19;11;14;"Automatic";"V8 7.5L";"RWD";2;29341;"YBXGPXWTRDYTAJKFN";1;"2023-04-30";"muscle car,coupe";"Houston";"TX";"{""model_imgs_key"": ""dodge charger hardtop""}"
92;1969;"Volkswagen";"Porsche 959 Tribute Roadster";"Beige";35703.25;12;18;"Automatic";"V8 6.0L";"FWD";3;144196;"WM0OS7P937KGB15JA";1;"2024-12-05";"convertible";"Seattle";"WA";"{""model_imgs_key"": ""volkswagen porsche 959 tribute roadster""}"
93;1975;"Volkswagen";"Camper";"Gray";7522.73;10;26;"Automatic";"Flat-4 1.2L";"FWD";2;12197;"RSHLTO04F2BTQKHUB";1;"2024-03-25";"van";"Denver";"CO";"{""model_imgs_key"": ""volkswagen camper""}"
94;1994;"Nissan";"300Zx";"Gray";27358.78;13;19;"Automatic";"V8 3.5L";"FWD";1;110297;"OR1O5LHIULKB35XHI";1;"2023-10-04";"coupe";"Houston";"TX";"{""model_imgs_key"": ""nissan 300zx""}"
95;1932;"Oldsmobile";"L32 4 Door Sedan";"Beige";38523.9;20;26;"Automatic";"V8 4.6L";"FWD";2;39957;"DAW2T0DZEJSKUA2GN";1;"2023-12-08";"sedan";"Miami";"FL";"{""model_imgs_key"": ""oldsmobile l32 4 door sedan""}"
96;1957;"Mercedes-Benz";"180D Sedan";"Gray";22814.3;20;20;"Manual";"V6 4.2L";"AWD";3;127538;"6RUPRWG6V2M8ZDT07";1;"2024-12-26";"sedan,luxury";"Seattle";"WA";"{""model_imgs_key"": ""mercedes-benz 180d sedan""}"
97;1957;"Oldsmobile";"Super 88 Convertible";"Beige";33989.53;12;21;"Automatic";"Rotary 1.1L";"RWD";2;103597;"DFXNT89SHMFYZOHUA";0;"2024-01-14";"convertible";"Charlotte";"NC";"{""model_imgs_key"": ""oldsmobile super 88 convertible""}"
98;1978;"Volkswagen";"Type 2 Kombi Bus";"Blue";41732.29;15;19;"Automatic";"V8 5.3L";"FWD";3;99950;"ZL1P2UCC3UKWPXWYT";1;"2022-08-05";"van";"Los Angeles";"CA";"{""model_imgs_key"": ""volkswagen type 2 kombi bus""}"
99;1932;"Oldsmobile";"L32 4 Door Sedan";"Blue";29970.08;16;30;"Automatic";"V8 4.6L";"RWD";1;48516;"X37MN5SJLVBID1S4Y";1;"2022-11-16";"sedan";"Houston";"TX";"{""model_imgs_key"": ""oldsmobile l32 4 door sedan""}"
100;1967;"Oldsmobile";"442 Convertible";"Beige";31896.14;17;25;"Manual";"V8 7.0L";"FWD";3;135889;"K7SMKFTEP5V9S5L4S";1;"2022-10-08";"convertible,muscle car";"Seattle";"WA";"{""model_imgs_key"": ""oldsmobile 442 convertible""}"
