year,make,model,color,price,mpg_city,mpg_hwy,transmission,engine,drive_type,prev_owners,mileage,vin,status,date_created,city,state,style
1960,Mercedes-Benz,Benz 190Sl Roadster,Brown,11955.8,11,26,Automatic,V6 4.2L,FWD,3,85284,5JH86CSQD7G8RRGLX,1,2022-11-25,Chicago,IL,"convertible,luxury"
1984,Porsche,928 S Coupe,Red,34258.45,9,30,Manual,V8 4.5L,RWD,3,6187,X7WJ32X567NJ1J790,1,2021-07-08,Austin,TX,coupe
1957,Oldsmobile,Super 88 Convertible,Green,13986.26,19,30,Manual,Rotary 1.1L,RWD,2,141037,MU4QF1K0AQ4013SF4,1,2022-11-26,Atlanta,GA,convertible
1996,Ford,Bronco Eddie Bauer,Gray,32511.7,14,19,Manual,V6 3.8L,RWD,2,78448,79ARWVC5PGQYR6QDC,1,2023-06-05,Houston,TX,SUV / 4x4
1951,Chevrolet,Sedan Delivery,Red,37795.45,16,23,Manual,Inline-4 2.2L,FWD,1,16857,O8AOGF5U99F8AZJ91,1,2024-09-29,Atlanta,GA,van
1987,Volkswagen,Vanagon Gl Syncro Westfalia,Red,3000,18,19,Automatic,Inline-6 3.2L,RWD,3,130112,OFJH17ADFV5QCUKTG,1,2023-06-20,Seattle,WA,"SUV / 4x4,van"
1978,Volkswagen,Type 2 Kombi Bus,Blue,48966.19,15,28,Manual,V8 5.3L,RWD,2,149411,2KKPZE3MH248J7WWF,1,2023-10-11,Miami,FL,van
1996,Toyota,Classic Sedan,Gray,23677.87,19,21,Automatic,Inline-4 1.9L,RWD,3,53860,1C2A8XGKE8CWJ3BW8,1,2024-01-09,Seattle,WA,sedan
1962,Dodge,Polara 500 Hardtop,Yellow,29637.05,12,21,Manual,Flat-6 3.6L,RWD,1,107127,6NRVYTKCFUZYMXIEN,1,2023-06-22,Atlanta,GA,"coupe,sedan"
1992,Mazda,Miata Mx 5,Brown,35476.59,11,29,Manual,Flat-4 1.6L,RWD,2,116171,JD8OJYY2PNK9HG4K6,1,2023-10-06,Louisville,KY,convertible
2004,Dodge,Ram Srt 10 Pickup,Red,40831.48,14,18,Manual,Inline-6 3.5L,AWD,1,29256,D7E4KPI22LKHRQAEJ,1,2025-03-18,Chicago,IL,pickup
1960,Mercedes-Benz,Benz 190Sl Roadster,Green,15228.93,8,18,Manual,V6 4.2L,FWD,1,82973,MW1QO0W82R93SZA9D,1,2022-12-05,Miami,FL,"convertible,luxury"
1956,Lincoln,Premiere 2 Door Hardtop,Gray,36155.05,9,23,Manual,Flat-6 3.2L,RWD,1,124790,WV9S007OQ5AB8LKC0,1,2022-05-05,Atlanta,GA,"luxury,coupe"
1957,Chevrolet,Corvette Convertible,Brown,14194.73,17,22,Automatic,Flat-6 2.2L,RWD,1,117666,BB30TRUJND799EJWL,1,2022-04-07,Louisville,KY,"convertible,muscle car"
1972,Buick,Centurion Convertible,Blue,28100.48,18,21,Automatic,V12 5.3L,FWD,1,143924,HPQGVKNFL8UZJMK41,1,2023-01-12,Phoenix,AZ,"convertible,luxury"
1973,Pontiac,Firebird Formula,Green,31569.15,13,13,Automatic,V8 4.0L,RWD,3,20155,ZXH4SQCSBMNLU5SI6,1,2024-07-17,Atlanta,GA,muscle car
1992,Mazda,Miata Mx 5,Red,18694.18,9,24,Manual,Flat-4 1.6L,FWD,2,113950,3L5CUCC8OKE63MNOE,1,2022-03-05,Miami,FL,convertible
1975,Oldsmobile,Delta 88 Royale Convertible,Gray,33822.03,10,21,Manual,V12 7.2L,AWD,3,141569,G01A8WZIUSLWI6O6L,1,2022-05-03,Atlanta,GA,convertible
1932,Oldsmobile,L32 4 Door Sedan,Blue,28980.39,20,26,Manual,V8 4.6L,RWD,3,120220,BMSJDUOUB9JA95M8G,1,2023-02-09,Houston,TX,sedan
1950,Cadillac,Series 61 Coupe,Black,15437.53,12,28,Manual,V8 4.6L,AWD,1,109953,T4KRPXILC2F2IAAJT,1,2024-07-14,Miami,FL,"luxury,coupe"
1966,Ford,Mustang Gt Hardtop,White,35935.91,14,17,Automatic,V8 4.0L,AWD,2,14748,2UMH4AN8Z5H36JOL7,1,2021-05-07,Seattle,WA,"muscle car,coupe"
1967,Volkswagen,Beetle,Red,8794.18,16,29,Manual,Flat-4 1.6L,RWD,1,5335,KH4R8H4BTTU5SJ3NZ,1,2022-07-14,Austin,TX,"coupe,sedan"
1982,Toyota,Pickup,Yellow,40129.41,12,15,Automatic,V8 3.5L,AWD,1,52016,85IW4K80V3QKADHMC,1,2024-08-22,Seattle,WA,pickup
1972,Oldsmobile,Toronado,Blue,14599.31,17,20,Manual,V12 5.3L,AWD,1,141154,PARN32CBKH11H4Y1L,1,2023-12-07,Miami,FL,luxury
1970,Cadillac,Coupe Deville,Red,15785.13,11,24,Automatic,Inline-6 3.5L,RWD,3,112213,91LPO7JCPQY10DG8J,1,2021-06-10,Denver,CO,"luxury,coupe"
1968,Pontiac,Executive Hardtop,Blue,65549.36,10,29,Automatic,V8 5.3L,RWD,2,52794,614GMAWDUHVVOCM94,1,2024-12-15,Houston,TX,"coupe,luxury"
1953,Buick,Super 50 Series Riviera 4 Door Sedan,Beige,41620.25,15,21,Automatic,V8 5.7L,AWD,1,142689,BBZTETHX86E8CWKY2,1,2023-10-09,Miami,FL,"luxury,sedan"
1948,Cadillac,Series 62 Coupe,Yellow,18103.44,14,17,Manual,V12 5.3L,FWD,1,73277,1Z77OQ59R3N8WJWZ5,1,2023-04-25,Atlanta,GA,"luxury,coupe"
1972,Ford,Mustang Mach 1,Red,40759.06,9,18,Automatic,Flat-6 3.6L,AWD,2,81783,1Z879F50574LDL6M6,1,2024-01-23,Los Angeles,CA,"muscle car,coupe"
1990,Toyota,Supra Coupe,Brown,37042.24,9,29,Manual,V8 6.2L,AWD,3,80891,8S0N0WTOZI8WCU2H4,0,2024-09-27,Nashville,TN,coupe
1982,Pontiac,Firebird Trans Am Tribute,Gray,31933.82,12,19,Manual,Inline-4 1.6L,RWD,1,57359,YE1SCB0NS8SJ5O3TN,1,2024-10-16,New Orleans,LA,muscle car
1997,BMW,M3 4 Door Sedan,Brown,6919.62,8,13,Manual,Flat-6 2.2L,FWD,2,16279,L6ZWMZI5SEHTJA29B,1,2024-02-14,Los Angeles,CA,"sedan,muscle car"
1969,Jaguar,Xke 2 2 Coupe,White,10154.82,20,29,Manual,Inline-6 3.5L,RWD,2,91053,OXBU0BJFBF2BY451D,0,2022-04-05,Denver,CO,"luxury,coupe"
1967,Pontiac,Firebird Convertible,Black,11571.57,18,28,Manual,Inline-6 2.8L,AWD,2,131591,GU4SISSTN3D2OBQHN,1,2022-02-27,Denver,CO,"convertible,muscle car"
1951,Dodge,Power Wagon,Brown,24029.12,13,17,Automatic,V8 6.0L,AWD,3,93426,KO8SXOU6HGRHLPWV9,1,2022-04-16,Phoenix,AZ,"SUV / 4x4,pickup"
1974,Porsche,914,Brown,12319.26,16,30,Automatic,V8 5.5L,AWD,2,57424,Q6B12UNNTEGO6EJYK,1,2022-02-21,Phoenix,AZ,coupe
1963,Jeep,Willys Station Wagon,Gray,41805.34,9,25,Automatic,Flat-4 1.6L,FWD,3,115006,HRQ6F7GMOITXEK0PX,1,2021-07-01,Seattle,WA,station wagon
1994,Nissan,300Zx,Green,22934.11,11,29,Manual,V8 3.5L,RWD,2,66483,X0RJL60BQ5I3FTEM3,1,2024-06-22,Portland,OR,coupe
1955,Pontiac,Star Chief Convertible,Green,18059.68,16,26,Manual,V8 4.5L,FWD,1,5253,W45K5XM2HPA71OO7H,1,2024-06-04,Denver,CO,convertible
1978,Chevrolet,Monza Station Wagon,Beige,7699.34,13,19,Automatic,V8 4.0L,RWD,1,60427,H7XRLECFK37ARXYLK,1,2023-05-25,Denver,CO,station wagon
1951,Lincoln,Lido Hardtop,Red,31375.29,16,25,Manual,V6 3.8L,FWD,3,18691,BSDHR920OPRA0D3C0,1,2022-05-10,Phoenix,AZ,"luxury,coupe"
1950,Dodge,Pickup,Red,45414.58,14,25,Automatic,V8 3.5L,RWD,3,8666,15O5QY5X6XMXTY6PY,1,2021-12-15,Richmond,VA,pickup
1970,Cadillac,Coupe Deville,White,22998.85,17,22,Manual,Inline-6 3.5L,FWD,2,40865,WE4LPWNMK00GRDWFJ,1,2021-09-15,Houston,TX,"luxury,coupe"
1957,Mercedes-Benz,Benz 180D Sedan,Black,23341.41,8,24,Manual,V6 4.2L,AWD,3,28507,IKRCUTDWKFP4U1UTN,1,2024-05-25,New Orleans,LA,"sedan,luxury"
1957,Oldsmobile,Super 88 Convertible,Yellow,35794.18,14,17,Manual,Rotary 1.1L,AWD,3,143051,B99C1R9TC8SJAOOBU,1,2023-12-14,Chicago,IL,convertible
1995,Jaguar,Xjs V12 Convertible,Gray,34758.08,16,22,Automatic,V12 7.2L,FWD,2,31545,CEUY5PBFJJB9YAVWT,0,2023-06-25,Atlanta,GA,"convertible,luxury"
1974,Chevrolet,Camaro Type Lt Z28,Blue,33738.48,8,19,Manual,V8 7.0L,RWD,2,141339,6EUZGCTAER771CSP7,1,2021-09-07,Chicago,IL,"muscle car,coupe"
1966,Buick,Skylark Gs Hardtop,Yellow,46335.57,16,20,Manual,V8 6.6L,RWD,3,78028,9NWZXQ9S2WMORQ86A,1,2022-06-29,Seattle,WA,"muscle car,coupe"
1992,Mazda,Miata Mx 5,Brown,30709.57,20,23,Manual,Flat-4 1.6L,RWD,2,74810,UOW86DD3IS4HJKJO0,1,2021-07-08,Phoenix,AZ,convertible
1984,Cadillac,Fleetwood Brougham D Elegance,Green,33283.32,22,26,Manual,Flat-6 2.0L,AWD,2,87649,FTKGBFPB3MRSXL1KR,1,2023-02-16,Los Angeles,CA,"luxury,sedan"
1976,Lincoln,Continental Town Coupe,Gray,32174.31,9,19,Automatic,V6 4.0L,FWD,3,74882,276ZIOERCBT0XLRZG,1,2022-04-19,Houston,TX,"luxury,coupe"
1981,Nissan,280Zx,Black,18410.37,15,28,Automatic,V8 4.5L,AWD,2,27293,3EKYOUNKEW0WB8K6F,1,2021-05-29,Phoenix,AZ,coupe
1975,Buick,Electra 225 Limited 2 Door Hardtop,Blue,33536.81,14,15,Manual,Flat-6 2.2L,RWD,2,112296,O5S02QGAGGI5W0G9K,1,2022-04-13,New Orleans,LA,"luxury,coupe"
1986,Oldsmobile,Cutlass Salon Hardtop,Green,24569.73,20,30,Manual,Flat-6 3.0L,AWD,1,113265,MK2N298UGEAOJGBCH,1,2022-09-03,Seattle,WA,"coupe,luxury"
1975,Oldsmobile,Delta 88 Royale Convertible,Yellow,40330.31,19,22,Automatic,V12 7.2L,FWD,1,94406,89A9HH0RRPUFGXA3O,1,2023-06-10,Miami,FL,convertible
1992,Mazda,Miata Mx 5,Blue,16282.73,11,30,Automatic,Flat-4 1.6L,FWD,1,59450,CF3UNJZW2ZIIBPMN8,1,2021-04-03,Seattle,WA,convertible
1996,Ford,Bronco Eddie Bauer,Yellow,16677.94,12,15,Manual,V6 3.8L,AWD,2,132170,8KI7OBPDEGJS1NG0Y,1,2022-07-03,New Orleans,LA,SUV / 4x4
1938,Lincoln,Zephyr Coupe,Blue,26781.56,17,22,Manual,Flat-4 1.3L,FWD,2,149819,4UZCSE0HYJ07O33LT,1,2022-03-13,Austin,TX,"luxury,coupe"
2003,Toyota,Tacoma Trd 4X4 Xtracab,White,13981.98,20,26,Automatic,V8 5.7L,AWD,3,104381,QU7F314K8XEX84223,0,2022-06-27,Miami,FL,"SUV / 4x4,pickup"
1950,Dodge,Pickup,Beige,21816.25,12,17,Manual,V8 3.5L,RWD,2,46863,RGJP40LR28DKLC039,1,2024-09-30,Atlanta,GA,pickup
1963,Jeep,Willys Station Wagon,Green,12610.01,16,25,Automatic,Flat-4 1.6L,AWD,2,32510,7BPP4DUES69JAUIDO,1,2024-02-13,Denver,CO,station wagon
1992,Mazda,Miata Mx 5,White,44006.22,9,20,Automatic,Flat-4 1.6L,AWD,3,71992,JP8DX4AU0QOGJPQ8W,1,2021-06-28,Atlanta,GA,convertible
1962,Dodge,Polara 500 Hardtop,Gray,35424.33,10,28,Automatic,Flat-6 3.6L,AWD,2,17154,L38X1DJMPN3M7M8E8,1,2022-11-05,Seattle,WA,"coupe,sedan"
1974,Porsche,914,Red,39137.42,14,29,Manual,V8 5.5L,RWD,2,135178,FKRMRTP1BH6DSSCO1,1,2022-10-12,Denver,CO,coupe
1970,Mercedes-Benz,Benz 280Se Sedan,White,31230.09,11,24,Manual,V6 4.0L,AWD,1,20412,70BTZLR32OPV5ZINU,1,2021-07-23,Miami,FL,"sedan,luxury"
1972,Oldsmobile,Toronado,Blue,16625.99,16,26,Manual,V12 5.3L,RWD,2,48170,DSP2V6S356HASBZ1E,1,2022-05-08,Los Angeles,CA,luxury
1982,Toyota,Pickup,Black,33750.57,8,29,Automatic,V8 3.5L,AWD,1,78577,F3ZAPBV5WASQVA4LK,1,2023-12-09,Phoenix,AZ,pickup
1978,Chevrolet,Monza Station Wagon,Black,13663.81,20,21,Manual,V8 4.0L,AWD,1,92474,NWF0FY8LA31EC54IT,1,2024-08-11,Houston,TX,station wagon
1960,Buick,Electra 2 Door Hardtop,Yellow,10180.75,12,14,Manual,V8 4.5L,AWD,2,80356,BMIEAR2B2IMFUH999,1,2024-06-18,Los Angeles,CA,"luxury,coupe"
1955,Pontiac,Star Chief Convertible,White,29609.73,18,28,Manual,V8 4.5L,FWD,3,72943,ZAW6Z9DJ1IT6BZ4AV,1,2023-10-15,Louisville,KY,convertible
1969,Volkswagen,Kelmark Gt,Yellow,7113.23,19,24,Automatic,V8 5.5L,FWD,3,145590,U7P9AGSAXOF40MY8A,1,2022-03-04,Seattle,WA,"coupe,muscle car"
1969,Jaguar,Xke Roadster,Yellow,16415.32,14,16,Manual,V12 5.0L,FWD,1,27843,DIZGFY59RDPLLIQ4L,1,2024-03-17,Chicago,IL,"convertible,luxury"
1959,Pontiac,Catalina Hardtop,Red,40537.23,16,18,Manual,Rotary 1.2L,AWD,3,95482,2PE1PGGU5Z4XFZ3DJ,1,2021-08-16,Atlanta,GA,"coupe,luxury"
1975,Mercedes-Benz,Benz 300D Sedan,Brown,37956.25,8,18,Manual,Inline-4 1.6L,AWD,3,77325,X4044VTRI2DJDAGWF,1,2021-06-10,New Orleans,LA,"sedan,luxury"
1986,Oldsmobile,Cutlass Salon Hardtop,Red,18980.36,10,14,Manual,Flat-6 3.0L,AWD,3,66363,3YPXJ4I69KKZJ1JGT,1,2021-08-24,Phoenix,AZ,"coupe,luxury"
1928,Buick,116 Sport Coupe,Blue,39700.59,17,20,Automatic,Flat-4 2.0L,AWD,1,34247,477U096SNVKG12U52,1,2021-07-06,Atlanta,GA,coupe
1969,Jaguar,Xke Roadster,Black,36847.1,10,22,Manual,V12 5.0L,RWD,3,34820,0ZJLF9AUG8XU0WG3C,1,2023-06-30,Chicago,IL,"convertible,luxury"
1940,Dodge,Series Vc G502 Power Wagon Pickup,Yellow,33557.34,22,22,Manual,V6 2.5L,AWD,2,108201,XHHVHBFZVWUVDR8U7,1,2023-02-03,Los Angeles,CA,"pickup,SUV / 4x4"
1969,Volkswagen,Kelmark Gt,Green,18432.03,16,25,Automatic,V8 5.5L,AWD,1,25302,G3Q0RLQ2UXYW9EDQV,1,2025-02-01,Seattle,WA,"coupe,muscle car"
1969,Dodge,Charger Hardtop,Red,60011.19,11,14,Automatic,V8 7.5L,RWD,2,29341,YBXGPXWTRDYTAJKFN,1,2023-04-30,Houston,TX,"muscle car,coupe"
1969,Volkswagen,Porsche 959 Tribute Roadster,Beige,35703.25,12,18,Automatic,V8 6.0L,FWD,3,144196,WM0OS7P937KGB15JA,1,2024-12-05,Seattle,WA,convertible
1975,Volkswagen,Camper,Gray,7522.73,10,26,Automatic,Flat-4 1.2L,FWD,2,12197,RSHLTO04F2BTQKHUB,1,2024-03-25,Denver,CO,van
1994,Nissan,300Zx,Gray,27358.78,13,19,Automatic,V8 3.5L,FWD,1,110297,OR1O5LHIULKB35XHI,1,2023-10-04,Houston,TX,coupe
1932,Oldsmobile,L32 4 Door Sedan,Beige,38523.9,20,26,Automatic,V8 4.6L,FWD,2,39957,DAW2T0DZEJSKUA2GN,1,2023-12-08,Miami,FL,sedan
1957,Mercedes-Benz,Benz 180D Sedan,Gray,22814.3,20,20,Manual,V6 4.2L,AWD,3,127538,6RUPRWG6V2M8ZDT07,1,2024-12-26,Seattle,WA,"sedan,luxury"
1957,Oldsmobile,Super 88 Convertible,Beige,33989.53,12,21,Automatic,Rotary 1.1L,RWD,2,103597,DFXNT89SHMFYZOHUA,0,2024-01-14,Charlotte,NC,convertible
1978,Volkswagen,Type 2 Kombi Bus,Blue,41732.29,15,19,Automatic,V8 5.3L,FWD,3,99950,ZL1P2UCC3UKWPXWYT,1,2022-08-05,Los Angeles,CA,van
1932,Oldsmobile,L32 4 Door Sedan,Blue,29970.08,16,30,Automatic,V8 4.6L,RWD,1,48516,X37MN5SJLVBID1S4Y,1,2022-11-16,Houston,TX,sedan
1967,Oldsmobile,442 Convertible,Beige,31896.14,17,25,Manual,V8 7.0L,FWD,3,135889,K7SMKFTEP5V9S5L4S,1,2022-10-08,Seattle,WA,"convertible,muscle car"
1966,Buick,Skylark Gs Hardtop,Green,25853.42,16,21,Automatic,V8 6.6L,RWD,3,52340,UGWQWAV76LGMVKBC8,1,2023-08-21,New Orleans,LA,"muscle car,coupe"
1922,Lincoln,Model 117 Brunn Sedan,Beige,31570.71,17,20,Automatic,Flat-4 2.0L,AWD,3,35730,NCR7I87A31W0UX8SI,1,2024-02-10,New Orleans,LA,"luxury,sedan"
1964,Volkswagen,Karmann Ghia Coupe,Red,32510.63,14,21,Automatic,Inline-6 3.5L,AWD,1,78588,0V0VA8AQJ7Z3ZV1YM,1,2023-09-30,Atlanta,GA,coupe
1950,Dodge,Pickup,Green,17482.11,12,17,Automatic,V8 3.5L,FWD,3,87260,244NMNL3XUX1GCOK0,1,2023-09-25,New Orleans,LA,pickup
1986,Oldsmobile,Cutlass Salon Hardtop,Green,44326.43,16,19,Manual,Flat-6 3.0L,AWD,3,79172,KW12ZE8TAGDA0CWII,1,2023-11-08,Denver,CO,"coupe,luxury"
1979,Dodge,D150 Lil Red Express Pickup,Gray,18736.89,17,18,Automatic,Flat-4 2.0L,AWD,1,145523,8DQVNJUZ6THW1ECCK,1,2021-07-18,Los Angeles,CA,pickup
1975,Mercedes-Benz,Benz 300D Sedan,Green,47851.99,12,18,Manual,Inline-4 1.6L,AWD,1,37994,1LEXWJMU3MI613U5Q,1,2024-07-14,Chicago,IL,"sedan,luxury"
1972,Buick,Centurion Convertible,Brown,38176.08,14,30,Automatic,V12 5.3L,FWD,2,131745,8BH7UQ8RQRBR7PDEH,1,2025-03-22,Houston,TX,"convertible,luxury"
1948,Cadillac,Series 62 Coupe,Beige,24149.12,12,27,Manual,V12 5.3L,AWD,3,96118,D5Y6RN3OUTYB1ZVGJ,1,2021-10-21,Denver,CO,"luxury,coupe"
1978,Volkswagen,Type 2 Kombi Bus,Brown,38769.07,13,22,Manual,V8 5.3L,FWD,2,52844,MG0ZBV6Y9EMF9WLBW,1,2024-07-15,Chicago,IL,van
1948,Cadillac,Series 62 Coupe,Brown,38264.04,10,25,Automatic,V12 5.3L,FWD,3,63242,YU19YWJHR4G5HU0C0,1,2021-05-22,New Orleans,LA,"luxury,coupe"
1951,Dodge,Power Wagon,Black,43656.86,18,20,Automatic,V8 6.0L,RWD,1,66206,6FCEF6QLGW4Y2TZX5,1,2024-04-09,New Orleans,LA,"SUV / 4x4,pickup"
1970,Lincoln,Continental Mark Iii 2 Door Hardtop,Beige,5271.97,17,21,Automatic,Inline-6 3.2L,FWD,3,103084,771ANYZXTZ81S01UI,1,2021-11-30,San Diego,CA,"luxury,coupe"
1951,Dodge,Power Wagon,Blue,35158.58,12,17,Manual,V8 6.0L,FWD,1,26840,7FUWZ3I4R0N22T1Y6,1,2023-01-17,New Orleans,LA,"SUV / 4x4,pickup"
1986,Oldsmobile,Cutlass Salon Hardtop,White,35938.25,8,26,Manual,Flat-6 3.0L,RWD,3,76578,DO9N9LHFZK7S6AARC,1,2025-02-08,Seattle,WA,"coupe,luxury"
1968,Pontiac,Executive Hardtop,White,31152.76,14,15,Automatic,V8 5.3L,RWD,2,55555,5Q625R229QLN23BP9,1,2022-01-13,Chicago,IL,"coupe,luxury"
1996,Toyota,Classic Sedan,Beige,25928.62,15,18,Automatic,Inline-4 1.9L,RWD,2,103061,FB306SYGQ5GG9RBG1,1,2024-12-13,Houston,TX,sedan
1962,Dodge,Polara 500 Hardtop,Brown,32011.31,10,15,Manual,Flat-6 3.6L,RWD,2,30184,JR8235WYP5Q4P9AGP,1,2024-12-20,Chicago,IL,"coupe,sedan"
1997,BMW,M3 4 Door Sedan,Yellow,40941.24,10,24,Manual,Flat-6 2.2L,FWD,1,22435,BQ1PJFWMLXAHGZ3LS,1,2021-10-15,Chicago,IL,"sedan,muscle car"
1984,Cadillac,Fleetwood Brougham D Elegance,Blue,25982.55,21,21,Automatic,Flat-6 2.0L,RWD,2,133292,8Y82PHQHMCKDK2173,1,2024-07-23,Miami,FL,"luxury,sedan"
1981,Nissan,280Zx,Red,14936.69,9,25,Automatic,V8 4.5L,FWD,3,23624,RF1HWZP0STGDMSIM0,1,2024-04-11,Savannah,GA,coupe
1984,Dodge,Rampage,Yellow,33822.27,16,19,Manual,Inline-4 2.2L,AWD,1,60315,ZKPOG6KWVNKGPWMFX,1,2024-07-19,Chicago,IL,pickup
1995,Jaguar,Xjs V12 Convertible,Yellow,19845.25,9,13,Automatic,V12 7.2L,RWD,1,61089,HONM4WZIADSKS2S5W,1,2022-05-24,Denver,CO,"convertible,luxury"
1978,Toyota,Corolla Sedan,Brown,14029.6,15,17,Automatic,V8 5.3L,FWD,2,9533,LB4KG9X39YHI3KC2V,1,2022-04-05,Chicago,IL,sedan
1932,Oldsmobile,L32 4 Door Sedan,Yellow,25491.8,12,18,Manual,V8 4.6L,RWD,1,137369,T0GD7KZ9J69W0RA0V,1,2024-07-22,Phoenix,AZ,sedan
1969,Jaguar,Xke 2 2 Coupe,Gray,16463.18,14,21,Automatic,Inline-6 3.5L,RWD,2,41037,FGU4Z9VB43YM15IVZ,1,2025-02-05,Los Angeles,CA,"luxury,coupe"
1980,Porsche,924 Turbo,Blue,11042.47,17,19,Automatic,V8 3.5L,AWD,2,96334,ERLHSOC1GJ21QHT8A,1,2023-01-03,New Orleans,LA,coupe
1968,Pontiac,Executive Hardtop,Blue,40199.71,11,15,Automatic,V8 5.3L,RWD,2,10722,HZXO6JGQSYK2GALRW,1,2023-12-22,Atlanta,GA,"coupe,luxury"
1983,Jeep,Cj7,Gray,11402.24,9,25,Manual,Inline-4 1.6L,AWD,2,84130,MKRR6FKCLWN3UJ85E,1,2025-03-30,Dallas,TX,SUV / 4x4
1994,Nissan,300Zx,Yellow,19909.06,18,28,Manual,V8 3.5L,FWD,1,45950,DL2XE5BRZGGPIJKH6,1,2021-07-15,Seattle,WA,coupe
1976,Lincoln,Continental Town Coupe,Green,38877.71,19,26,Manual,V6 4.0L,FWD,2,125846,WIRFUPYTPA6X2CNN9,1,2021-05-27,Chicago,IL,"luxury,coupe"
1987,Volkswagen,Vanagon Gl Syncro Westfalia,White,12641.25,13,17,Automatic,Inline-6 3.2L,FWD,2,144248,EC5QXN1SGDMK56LVT,1,2024-04-17,Seattle,WA,"SUV / 4x4,van"
1978,Chevrolet,Monza Station Wagon,White,27981.1,10,19,Manual,V8 4.0L,RWD,3,102209,M83LY245L6WHX6GKN,1,2021-07-09,Richmond,VA,station wagon
1970,Pontiac,Gto Hardtop,White,17794.11,11,21,Manual,Flat-4 1.3L,RWD,1,5509,IE74DMS8ZANUCN6WO,1,2024-02-14,New Orleans,LA,muscle car
1952,Mercedes-Benz,Benz 220 Sedan,Yellow,36351.36,12,17,Manual,Inline-4 3.0L,FWD,1,15414,7TRL368K8HJH41Q5C,1,2023-06-13,Los Angeles,CA,"sedan,luxury"
1987,Volkswagen,Vanagon Gl Syncro Westfalia,Blue,3000,21,23,Automatic,Inline-6 3.2L,RWD,1,141014,9SZE187QW80L9KZ0Z,1,2023-08-26,Los Angeles,CA,"SUV / 4x4,van"
1940,Dodge,Series Vc G502 Power Wagon Pickup,White,46301.59,12,28,Manual,V6 2.5L,FWD,2,33493,PTVUSZMENAJJ3VTOS,1,2024-01-13,Nashville,TN,"pickup,SUV / 4x4"
1997,BMW,M3 4 Door Sedan,Yellow,41153.82,14,28,Automatic,Flat-6 2.2L,RWD,2,48213,1WA20VWC645VG4UU5,1,2023-05-04,Phoenix,AZ,"sedan,muscle car"
1971,Dodge,Challenger R T,Yellow,36166.85,20,23,Manual,V8 4.2L,AWD,2,57057,BE7LKQG8A2HUQS48Z,1,2022-03-29,Denver,CO,"muscle car,coupe"
1960,Buick,Electra 2 Door Hardtop,Red,34577.49,14,19,Manual,V8 4.5L,FWD,2,40502,H6AK8UOOCZJMSRWTQ,1,2023-04-19,New Orleans,LA,"luxury,coupe"
1967,Pontiac,Firebird Convertible,Red,35400.92,13,17,Manual,Inline-6 2.8L,RWD,1,136756,D0O7CJ6XC0996VU4L,1,2022-04-26,Indianapolis,IN,"convertible,muscle car"
1978,Chevrolet,Monza Station Wagon,Brown,38983.17,9,20,Automatic,V8 4.0L,AWD,1,84579,YLIRK2R12PW7DL2MH,1,2024-09-14,Los Angeles,CA,station wagon
