"id","city","color","date_created","drive_type","engine","images","make","mileage","model","mpg_city","mpg_hwy","prev_owners","price","state","status","style","transmission","vin","year"
"8","Nashville","Blue","2022-09-02","FWD","Flat-4 2.0L","{""model_imgs_key"":{""S"":""buick 116 sport coupe""}}","Buick","42768","116 Sport Coupe","14","15","3","29665.61","TN","1","coupe","Automatic","YR4BVGFRCCWRBL2QT","1928"
"288","Madison","Red","2023-02-02","FWD","Flat-4 2.0L","{""model_imgs_key"":{""S"":""dodge d150 lil red express pickup""}}","Dodge","95122","D150 Lil Red Express Pickup","10","24","2","17739.36","AL","1","pickup","Manual","XITGUTWQU6K6BKH0M","1979"
"373","Concord","Green","2024-10-15","FWD","V8 5.5L","{""model_imgs_key"":{""S"":""porsche 914""}}","Porsche","60424","914","16","17","2","51552.09","NC","1","coupe","Automatic","RNLNYIWDWZYDE1CDU","1974"
"461","Cary","Gray","2024-12-18","AWD","Flat-6 3.6L","{""model_imgs_key"":{""S"":""ford mustang mach 1""}}","Ford","104117","Mustang Mach 1","19","23","2","38500.89","NC","1","""muscle car,coupe""","Automatic","2J159GZXO4RB85BPA","1972"
"229","Dallas","White","2024-07-20","RWD","V8 4.2L","{""model_imgs_key"":{""S"":""lincoln mark v convertible""}}","Lincoln","145772","Mark V Convertible","13","18","2","34793.25","TX","1","""convertible,luxury""","Automatic","7PE45XKM2R3QTYSZ2","1960"
"467","Newark","Beige","2023-06-05","FWD","Flat-6 3.6L","{""model_imgs_key"":{""S"":""dodge polara 500 hardtop""}}","Dodge","85780","Polara 500 Hardtop","20","25","2","31113.04","NJ","1","""coupe,sedan""","Manual","QDKMQTRPOLREIHBCB","1962"
"62","Marietta","Gray","2022-04-19","FWD","V6 4.0L","{""model_imgs_key"":{""S"":""lincoln continental town coupe""}}","Lincoln","74882","Continental Town Coupe","9","19","3","32174.31","GA","1","""luxury,coupe""","Automatic","276ZIOERCBT0XLRZG","1976"
"226","Toledo","Gray","2024-07-16","AWD","V8 4.6L","{""model_imgs_key"":{""S"":""oldsmobile l32 4 door sedan""}}","Oldsmobile","52043","L32 4 Door Sedan","10","17","3","9595.82","OH","1","sedan","Manual","YQEZ1CGJX5GFUKG42","1932"
"197","Birmingham","Black","2024-06-20","FWD","V8 7.0L","{""model_imgs_key"":{""S"":""chevrolet camaro type lt z28""}}","Chevrolet","81302","Camaro Type Lt Z28","19","25","1","27865.76","AL","1","""muscle car,coupe""","Automatic","Z90FR2D83XGGCIXQI","1974"
"244","Martinsburg","Beige","2024-03-09","AWD","V8 7.0L","{""model_imgs_key"":{""S"":""dodge meadowbrook 4 door sedan""}}","Dodge","91880","Meadowbrook 4 Door Sedan","21","22","1","28543.06","WV","1","sedan","Automatic","GC22C391B440GYNHZ","1951"
"230","Cleveland","Beige","2022-10-01","FWD","Flat-6 3.6L","{""model_imgs_key"":{""S"":""ford mustang mach 1""}}","Ford","51481","Mustang Mach 1","21","22","3","51859.43","OH","1","""muscle car,coupe""","Automatic","YOM1K8D3T3K6BJLZC","1972"
"476","Little Rock","Green","2023-12-10","RWD","V8 5.7L","{""model_imgs_key"":{""S"":""toyota tacoma trd 4x4 xtracab""}}","Toyota","25317","Tacoma Trd 4X4 Xtracab","9","13","2","54086.1","AR","1","""SUV / 4x4,pickup""","Manual","6E2T80QD7V90RXTFT","2003"
"697","Concord","Yellow","2021-12-08","FWD","Inline-4 2.2L","{""model_imgs_key"":{""S"":""chevrolet sedan delivery""}}","Chevrolet","27238","Sedan Delivery","14","21","1","35370.92","NC","1","van","Manual","IDBXMLE56J1NT24KE","1951"
"54","Greenville","White","2021-09-15","FWD","Inline-6 3.5L","{""model_imgs_key"":{""S"":""cadillac coupe deville""}}","Cadillac","40865","Coupe Deville","17","22","2","22998.85","SC","1","""luxury,coupe""","Manual","WE4LPWNMK00GRDWFJ","1970"
"730","Miami","SaddleBrown","2025-01-08","FWD","I4","{""model_imgs_key"":{""S"":""chevrolet ck""}}","Chevrolet","186557","CK","12","27","3","27670","FL","1","pickup","Manual","sHT52119XSMx81247","1986"
"343","Smyrna","Yellow","2023-10-06","FWD","Rotary 1.1L","{""model_imgs_key"":{""S"":""willys jeepster""}}","Willys","98098","Jeepster","12","16","2","20387.5","TN","1","SUV / 4x4","Manual","9Y7L99AN1VB310J3Q","1948"
"442","Watertown","Beige","2021-06-21","FWD","Inline-6 3.5L","{""model_imgs_key"":{""S"":""jaguar xke 2 2 coupe""}}","Jaguar","33375","Xke 2 2 Coupe","20","24","2","27432.75","NY","1","""luxury,coupe""","Manual","B51LJ09UY60CXDLSN","1969"
"287","Smyrna","Yellow","2025-02-06","AWD","V8 6.0L","{""model_imgs_key"":{""S"":""volkswagen porsche 959 tribute roadster""}}","Volkswagen","113422","Porsche 959 Tribute Roadster","13","21","3","31808.5","TN","1","convertible","Automatic","FTD45Y3QUUOF62VOK","1969"
"593","Roanoke","Brown","2021-04-23","FWD","Inline-4 2.2L","{""model_imgs_key"":{""S"":""chevrolet sedan delivery""}}","Chevrolet","116099","Sedan Delivery","20","27","3","18437.97","VA","1","van","Manual","XPUNYPQZNZ9ZDOWWX","1951"
"468","San Francisco","Black","2022-06-20","AWD","V8 4.6L","{""model_imgs_key"":{""S"":""cadillac series 61 coupe""}}","Cadillac","82882","Series 61 Coupe","17","26","2","18310.74","CA","1","""luxury,coupe""","Automatic","CRUSKIP8BUS2T5N4Q","1950"
"241","Durham","White","2023-02-20","AWD","Flat-4 1.3L","{""model_imgs_key"":{""S"":""pontiac gto hardtop""}}","Pontiac","112081","Gto Hardtop","11","20","1","18983.68","NC","1","muscle car","Manual","A3XLO6QX1IM1A8CM5","1970"
"339","New York","Beige","2022-03-19","FWD","Inline-4 2.2L","{""model_imgs_key"":{""S"":""chevrolet sedan delivery""}}","Chevrolet","132936","Sedan Delivery","20","25","3","27538.5","NY","1","van","Manual","JEO6RD1ZHT9EN3R0T","1951"
"527","Haines City","Black","2023-01-10","AWD","V6 4.2L","{""model_imgs_key"":{""S"":""mercedes-benz 190sl roadster""}}","Mercedes-Benz","15316","190Sl Roadster","11","23","1","24067.69","FL","1","""convertible,luxury""","Automatic","GYUVNYQA7S7EWV9UI","1960"
"329","Bayonne","Blue","2021-04-25","RWD","V8 4.0L","{""model_imgs_key"":{""S"":""pontiac firebird formula""}}","Pontiac","140608","Firebird Formula","8","17","3","42919.52","NJ","1","muscle car","Manual","6MRFBPWSZDV6E5ZCY","1973"
"345","Indianapolis","Blue","2022-04-03","FWD","V8 6.2L","{""model_imgs_key"":{""S"":""toyota supra coupe""}}","Toyota","97791","Supra Coupe","10","23","1","17657.91","IN","1","coupe","Manual","2ZM0RYGMBOEGKZW2T","1990"
"296","Austin","Beige","2023-02-13","AWD","Rotary 1.3L","{""model_imgs_key"":{""S"":""ford f150 xlt lariat pickup""}}","Ford","119492","F150 Xlt Lariat Pickup","17","25","2","3607.04","TX","1","pickup","Automatic","LIL8V6TBVUTNJV1SH","1986"
"611","Hanover","Red","2024-06-29","AWD","V8 4.5L","{""model_imgs_key"":{""S"":""buick electra 2 door hardtop""}}","Buick","132970","Electra 2 Door Hardtop","16","21","3","14535.16","PA","1","""luxury,coupe""","Manual","DXY60QR7U04IAX2VJ","1960"
"75","Southaven","Red","2022-10-12","RWD","V8 5.5L","{""model_imgs_key"":{""S"":""porsche 914""}}","Porsche","135178","914","14","29","2","39137.42","MS","1","coupe","Manual","FKRMRTP1BH6DSSCO1","1974"
"578","Asheville","Yellow","2023-07-07","AWD","V8 5.3L","{""model_imgs_key"":{""S"":""toyota corolla sedan""}}","Toyota","125130","Corolla Sedan","10","20","1","25764.04","NC","1","sedan","Manual","G1XBTXVE2X5L84JCJ","1978"
"254","Tampa","Green","2023-05-21","AWD","V6 3.8L","{""model_imgs_key"":{""S"":""lincoln lido hardtop""}}","Lincoln","42119","Lido Hardtop","12","24","2","52321.21","FL","1","""luxury,coupe""","Automatic","573SKDITXNEKE086L","1951"
"163","Vestavia Hills","Green","2023-01-04","RWD","V8 4.0L","{""model_imgs_key"":{""S"":""cadillac series 63 touring sedan""}}","Cadillac","25675","Series 63 Touring Sedan","16","25","1","22515.62","AL","1","""luxury,sedan""","Automatic","VMEYJHIY8AW89WN2H","1941"
"89","Montgomery","Yellow","2023-02-03","AWD","V6 2.5L","{""model_imgs_key"":{""S"":""dodge series vc g502 power wagon pickup""}}","Dodge","108201","Series Vc G502 Power Wagon Pickup","22","22","2","33557.34","AL","1","""pickup,SUV / 4x4""","Manual","XHHVHBFZVWUVDR8U7","1940"
"518","North Charleston","Red","2024-09-20","RWD","V6 3.8L","{""model_imgs_key"":{""S"":""ford bronco eddie bauer""}}","Ford","45809","Bronco Eddie Bauer","8","29","3","13750.39","SC","1","SUV / 4x4","Automatic","DHNM2S5JTATN1PB9Z","1996"
"587","Concord","White","2024-09-25","FWD","Inline-4 1.6L","{""model_imgs_key"":{""S"":""mercedes-benz 300d sedan""}}","Mercedes-Benz","131773","300D Sedan","19","29","1","45835.09","NC","1","""sedan,luxury""","Automatic","7B40DRNVKZWLMMPYD","1975"
"32","Atlanta","White","2021-05-07","AWD","V8 4.0L","{""model_imgs_key"":{""S"":""ford mustang gt hardtop""}}","Ford","14748","Mustang Gt Hardtop","14","17","2","35935.91","GA","1","""muscle car,coupe""","Automatic","2UMH4AN8Z5H36JOL7","1966"
"131","Roswell","Green","2021-05-27","FWD","V6 4.0L","{""model_imgs_key"":{""S"":""lincoln continental town coupe""}}","Lincoln","125846","Continental Town Coupe","19","26","2","38877.71","GA","1","""luxury,coupe""","Manual","WIRFUPYTPA6X2CNN9","1976"
"696","Hoover","White","2022-05-27","FWD","V8 4.0L","{""model_imgs_key"":{""S"":""pontiac firebird formula""}}","Pontiac","103394","Firebird Formula","9","16","3","36028.62","AL","1","muscle car","Automatic","F1DSN7GBLS3123PXW","1973"
"435","Vestavia Hills","Red","2022-10-03","AWD","Flat-4 1.2L","{""model_imgs_key"":{""S"":""volkswagen camper""}}","Volkswagen","15878","Camper","19","26","1","30318.42","AL","1","van","Manual","MUAXQ696RDKM7UCZG","1975"
"300","Little Rock","Green","2022-01-01","AWD","Flat-4 1.6L","{""model_imgs_key"":{""S"":""jeep willys station wagon""}}","Jeep","18088","Willys Station Wagon","20","22","3","3000","AR","1","station wagon","Manual","C0HS61WWU6IM4XXZE","1963"
"342","Bessemer","Red","2022-05-04","RWD","Flat-6 2.2L","{""model_imgs_key"":{""S"":""bmw m3 4 door sedan""}}","BMW","149223","M3 4 Door Sedan","14","19","2","11329.37","AL","0","""sedan,muscle car""","Manual","0AHPJIXNLL85JHEEO","1997"
"238","Bayonne","Yellow","2022-08-08","AWD","Flat-6 2.2L","{""model_imgs_key"":{""S"":""buick electra 225 limited 2 door hardtop""}}","Buick","84985","Electra 225 Limited 2 Door Hardtop","15","16","3","9969.38","NJ","1","""luxury,coupe""","Manual","52WGE4YD2DZBT9RFI","1975"
"341","Denver","Beige","2023-09-05","AWD","V6 4.0L","{""model_imgs_key"":{""S"":""lincoln continental town coupe""}}","Lincoln","112287","Continental Town Coupe","18","23","2","29914.46","CO","1","""luxury,coupe""","Manual","JX81K83SXS92OV5AD","1976"
"734","Indianapolis","LightCyan","2024-01-14","FWD","Flat-6","{""model_imgs_key"":{""S"":""ferrari 308""}}","Ferrari","139907","308","18","28","1","34449","IN","1","""coupe,luxury""","Automatic","Ogv04171vqjC13530","1993"
"185","Fayetteville","Yellow","2024-04-16","AWD","V6 4.2L","{""model_imgs_key"":{""S"":""mercedes-benz 190sl roadster""}}","Mercedes-Benz","17530","190Sl Roadster","13","19","3","45299.55","NC","0","""convertible,luxury""","Manual","HXVHXLNIYH9F9HT5K","1960"
"264","Portland","Beige","2023-04-30","FWD","Flat-6 2.0L","{""model_imgs_key"":{""S"":""cadillac fleetwood brougham d elegance""}}","Cadillac","128765","Fleetwood Brougham D Elegance","15","21","1","31791.23","OR","0","""luxury,sedan""","Manual","QFQULYXCTUDAV9LJ6","1984"
"582","Concord","Brown","2022-05-05","AWD","V8 4.5L","{""model_imgs_key"":{""S"":""nissan 280zx""}}","Nissan","48259","280Zx","8","12","3","30677.96","NC","1","coupe","Automatic","LLCCXJHBNG8JIG8RB","1981"
"607","Montgomery","Green","2024-12-06","RWD","V8 5.3L","{""model_imgs_key"":{""S"":""toyota corolla sedan""}}","Toyota","139252","Corolla Sedan","17","26","1","3000","AL","1","sedan","Manual","IJ7KXS6RK87SYHOAO","1978"
"387","Wilmington","Brown","2021-04-26","AWD","Flat-6 2.2L","{""model_imgs_key"":{""S"":""bmw m3 4 door sedan""}}","BMW","45811","M3 4 Door Sedan","17","19","2","37002.99","NC","1","""sedan,muscle car""","Manual","J1BUSY9DOSHVU0BFM","1997"
"220","Opelika","Beige","2024-04-15","RWD","Inline-4 2.5L","{""model_imgs_key"":{""S"":""dodge vc series 1 2 ton panel truck""}}","Dodge","95714","Vc Series 1 2 Ton Panel Truck","21","30","3","25859.98","AL","1","pickup","Automatic","AD8RX75CRB63GC4I1","1940"
"322","Florence","Beige","2022-06-28","RWD","V8 3.5L","{""model_imgs_key"":{""S"":""nissan 300zx""}}","Nissan","7872","300Zx","15","28","2","19497.21","SC","1","coupe","Automatic","EWAJ3B4W4X8DVUE9D","1994"
"496","Summerville","Gray","2022-09-15","AWD","Rotary 1.2L","{""model_imgs_key"":{""S"":""pontiac catalina hardtop""}}","Pontiac","133396","Catalina Hardtop","11","17","1","13464.04","SC","1","""coupe,luxury""","Automatic","XWCWM8UHAPCAX6DTC","1959"
"260","Wilmington","Red","2022-05-27","FWD","Flat-6 2.7L","{""model_imgs_key"":{""S"":""ford thunderbird landau hardtop""}}","Ford","6462","Thunderbird Landau Hardtop","21","22","1","51747.69","NC","1","""luxury,coupe""","Manual","2UZLYBUYGBU5UW7OU","1967"
"351","Opelika","Red","2024-03-20","FWD","V8 4.6L","{""model_imgs_key"":{""S"":""oldsmobile l32 4 door sedan""}}","Oldsmobile","126382","L32 4 Door Sedan","20","27","3","25964.58","AL","1","sedan","Automatic","DKRA90RZ6M8TBK2RG","1932"
"584","Martinsburg","Yellow","2022-09-05","RWD","V8 5.3L","{""model_imgs_key"":{""S"":""pontiac executive hardtop""}}","Pontiac","90317","Executive Hardtop","19","29","2","18154.96","WV","1","""coupe,luxury""","Manual","RN0VIPY0S7G7EPDV9","1968"
"535","New York","Brown","2022-05-31","RWD","Flat-6 3.6L","{""model_imgs_key"":{""S"":""ford mustang mach 1""}}","Ford","47756","Mustang Mach 1","20","20","2","58144.78","NY","1","""muscle car,coupe""","Manual","A3P941C2E6ZXNH7I9","1972"
